-- The C compiler identification is GNU 11.4.0
-- The CXX compiler identification is GNU 11.4.0
-- Detecting C compiler ABI info
-- Detecting C compiler ABI info - done
-- Check for working C compiler: /usr/bin/cc - skipped
-- Detecting C compile features
-- Detecting C compile features - done
-- Detecting CXX compiler ABI info
-- Detecting CXX compiler ABI info - done
-- Check for working CXX compiler: /usr/bin/c++ - skipped
-- Detecting CXX compile features
-- Detecting CXX compile features - done
-- Found ament_cmake: 1.3.12 (/opt/ros/humble/share/ament_cmake/cmake)
-- Found Python3: /usr/bin/python3 (found version "3.10.12") found components: Interpreter 
-- Found xacro: 2.1.1 (/opt/ros/humble/share/xacro/cmake)
-- Found rclpy: 3.3.17 (/opt/ros/humble/share/rclpy/cmake)
-- Found geometry_msgs: 4.9.0 (/opt/ros/humble/share/geometry_msgs/cmake)
-- Found rosidl_generator_c: 3.1.7 (/opt/ros/humble/share/rosidl_generator_c/cmake)
-- Found rosidl_adapter: 3.1.7 (/opt/ros/humble/share/rosidl_adapter/cmake)
-- Found rosidl_generator_cpp: 3.1.7 (/opt/ros/humble/share/rosidl_generator_cpp/cmake)
-- Using all available rosidl_typesupport_c: rosidl_typesupport_fastrtps_c;rosidl_typesupport_introspection_c
-- Using all available rosidl_typesupport_cpp: rosidl_typesupport_fastrtps_cpp;rosidl_typesupport_introspection_cpp
-- Found ackermann_msgs: 2.0.2 (/opt/ros/humble/share/ackermann_msgs/cmake)
-- Configuring done
-- Generating done
-- Build files have been written to: /home/zech/ros2_ws/build/eclipse_ackermann
-- Install configuration: ""
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/launch
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/launch/sim.launch.py
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/urdf
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/urdf/eclipse_ackermann.urdf.xacro
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/config
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/worlds
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/worlds/empty.world.sdf
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/lib/eclipse_ackermann/pure_pursuit_ackermann.py
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/ament_index/resource_index/package_run_dependencies/eclipse_ackermann
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/ament_index/resource_index/parent_prefix_path/eclipse_ackermann
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/environment/ament_prefix_path.sh
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/environment/ament_prefix_path.dsv
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/environment/path.sh
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/environment/path.dsv
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/local_setup.bash
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/local_setup.sh
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/local_setup.zsh
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/local_setup.dsv
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/package.dsv
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/ament_index/resource_index/packages/eclipse_ackermann
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/cmake/eclipse_ackermannConfig.cmake
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/cmake/eclipse_ackermannConfig-version.cmake
-- Installing: /home/zech/ros2_ws/install/eclipse_ackermann/share/eclipse_ackermann/package.xml
